Code Domaine,Domaine,Code zone (FAO),Zone,Code Élément,Élément,Code Produit,Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole
"FBS","Bilans Alimentaires (2010-)","11","Autriche","674","Disponibilité de protéines en quantité (g/personne/jour)","2901","Total General","2019","2019","g/personne/jour","108.95","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","11","Autriche","664","Disponibilité alimentaire (Kcal/personne/jour)","2941","Produits Animaux","2018","2018","Kcal/personne/jour","1193","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","11","Autriche","664","Disponibilité alimentaire (Kcal/personne/jour)","2941","Produits Animaux","2019","2019","Kcal/personne/jour","1154","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","11","Autriche","674","Disponibilité de protéines en quantité (g/personne/jour)","2941","Produits Animaux","2018","2018","g/personne/jour","65.98","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","11","Autriche","674","Disponibilité de protéines en quantité (g/personne/jour)","2941","Produits Animaux","2019","2019","g/personne/jour","64.49","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","52","Azerbaïdjan","664","Disponibilité alimentaire (Kcal/personne/jour)","2901","Total General","2018","2018","Kcal/personne/jour","3145","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","52","Azerbaïdjan","664","Disponibilité alimentaire (Kcal/personne/jour)","2901","Total General","2019","2019","Kcal/personne/jour","3154","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","52","Azerbaïdjan","674","Disponibilité de protéines en quantité (g/personne/jour)","2901","Total General","2018","2018","g/personne/jour","94.62","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","52","Azerbaïdjan","674","Disponibilité de protéines en quantité (g/personne/jour)","2901","Total General","2019","2019","g/personne/jour","95.92","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","52","Azerbaïdjan","664","Disponibilité alimentaire (Kcal/personne/jour)","2941","Produits Animaux","2018","2018","Kcal/personne/jour","575","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","52","Azerbaïdjan","664","Disponibilité alimentaire (Kcal/personne/jour)","2941","Produits Animaux","2019","2019","Kcal/personne/jour","579","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","52","Azerbaïdjan","674","Disponibilité de protéines en quantité (g/personne/jour)","2941","Produits Animaux","2018","2018","g/personne/jour","33.58","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","52","Azerbaïdjan","674","Disponibilité de protéines en quantité (g/personne/jour)","2941","Produits Animaux","2019","2019","g/personne/jour","34.66","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","12","Bahamas","664","Disponibilité alimentaire (Kcal/personne/jour)","2901","Total General","2018","2018","Kcal/personne/jour","2650","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","12","Bahamas","664","Disponibilité alimentaire (Kcal/personne/jour)","2901","Total General","2019","2019","Kcal/personne/jour","2626","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","12","Bahamas","674","Disponibilité de protéines en quantité (g/personne/jour)","2901","Total General","2018","2018","g/personne/jour","81.62","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","12","Bahamas","674","Disponibilité de protéines en quantité (g/personne/jour)","2901","Total General","2019","2019","g/personne/jour","76.1","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","12","Bahamas","664","Disponibilité alimentaire (Kcal/personne/jour)","2941","Produits Animaux","2018","2018","Kcal/personne/jour","792","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","12","Bahamas","664","Disponibilité alimentaire (Kcal/personne/jour)","2941","Produits Animaux","2019","2019","Kcal/personne/jour","749","Fc","Donnée calculée"
